location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
Myanmar,2024-08-04,MMR,Asia,26.0,642885.0,0.0,19494.0,0.81,76.69,66.33,154.88,0.0,0.9,54179312,81.72,29.1,5591.6,37.04,,3.7142857142857144,3.2857142857142856,1.0,4.0444327605193564e-05,17307.7423077275,11865.876037702361,3.7142857142857144,0.962962962962963,0,2,High,✅ Stable
Namibia,2024-08-04,NAM,Africa,0.0,172533.0,0.0,4108.0,0.28,24.53,21.46,417.38,0.06,,2567024,3.08,22.0,9541.81,5.56,171156.0,0.0,0.07142857142857142,1.0,0.0,120772.39999787278,67211.29214218489,0.0,0.0,0,2,High,✅ Stable
Nauru,2024-08-04,NRU,Oceania,0.0,5393.0,0.0,1.0,-0.0,103.27,89.4,,,5.0,12691,682.45,,12895.64,,5247.0,0.0,0.0,1.0,0.0,101.3297297297299,424946.81270191475,0.0,0.0,0,0,Low,✅ Stable
Nepal,2024-08-04,NPL,Asia,0.0,1003450.0,0.0,12031.0,0.79,91.28,80.11,232.03,0.01,0.3,30547586,204.43,25.0,2442.8,32.44,1001154.0,0.0,0.0,1.0,0.0,234137.63332709306,32848.74948874848,0.0,0.0,0,2,High,✅ Stable
Netherlands,2024-08-04,NLD,Europe,383.0,8640008.0,0.0,22986.0,1.22,71.64,67.0,1753.39,0.68,3.32,17564020,508.54,43.2,48472.54,11.11,8712835.0,54.714285714285715,59.5,0.851111111111111,4.433062777597918e-05,15790.437336854031,491915.1765939688,54.714285714285715,0.7737373737373738,0,0,Low,✅ Stable
New Caledonia,2024-08-04,NCL,Oceania,0.0,80163.0,0.0,314.0,,66.35,63.74,,,,289959,15.34,33.4,,,,0.0,0.0,1.0,0.0,566.10909090905,276463.224110995,0.0,0.0,0,0,Low,✅ Stable
New Zealand,2024-08-11,NZL,Oceania,0.0,0.0,0.0,0.0,0.01,82.97,82.77,1416.09,,2.61,5185289,18.21,37.9,36085.84,11.11,2236114.0,0.0,123.57142857142857,1.0,0.0,-0.7,0.0,0.0,0.0,0,2,High,✅ Stable
Nicaragua,2024-08-04,NIC,North America,2.0,16185.0,0.0,245.0,0.0,92.17,88.17,28.67,0.02,0.9,6948395,51.67,27.3,5321.44,13.89,15655.0,0.2857142857142857,0.42857142857142855,1.0,0.00012358647963917058,5664.049999998025,2329.314899340063,0.2857142857142857,0.18181818181818182,0,0,Low,✅ Stable
Niger,2024-08-04,NER,Africa,0.0,9518.0,0.0,315.0,0.03,23.84,20.92,10.08,0.01,0.3,26207982,16.95,15.1,926.0,10.55,9508.0,0.0,0.0,1.0,0.0,6661.899999999089,363.1718001027321,0.0,0.0,0,0,Low,✅ Stable
Nigeria,2024-08-04,NGA,Africa,0.0,267188.0,0.0,3155.0,0.11,42.93,37.2,24.74,0.0,,218541216,209.59,18.1,5338.45,11.11,266598.0,0.0,0.0,1.0,0.0,12468.073333342903,1222.597754741147,0.0,0.0,0,0,Low,✅ Stable
Niue,2024-08-04,NIU,Oceania,0.0,1074.0,0.0,0.0,,83.91,83.76,,,,1952,,,,,,0.0,0.0,1.0,0.0,106.69999999999972,550204.9180327869,0.0,0.0,0,0,Low,✅ Stable
North Korea,2024-08-04,PRK,Asia,0.0,0.0,0.0,0.0,,,,7.04,,13.2,26069416,211.7,35.3,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
North Macedonia,2024-08-04,MKD,Europe,116.0,350924.0,0.0,9978.0,0.27,40.82,40.04,986.12,0.07,4.28,2093606,82.6,39.1,13111.21,,346852.0,16.571428571428573,13.857142857142858,1.4871794871794874,0.0003306652071788374,2116.9448275863238,167617.0205855352,16.571428571428573,1.7058823529411768,0,2,High,✅ Stable
Northern Cyprus,2022-12-06,OWID_CYN,Asia,0.0,0.0,0.0,0.0,,78.8,81.78,,,,382836,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Northern Ireland,2023-12-11,OWID_NIR,Europe,0.0,0.0,0.0,0.0,,75.46,71.78,,,,1896000,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Northern Mariana Islands,2024-08-04,MNP,Oceania,31.0,14912.0,0.0,41.0,,,,1194.6,0.7,,49574,119.88,,,,,4.428571428571429,5.357142857142857,1.0,0.0020831933337812636,336.0225806451723,300802.8401984911,4.428571428571429,0.4769230769230769,0,2,High,✅ Stable
Norway,2024-08-04,NOR,Europe,745.0,1512647.0,0.0,5732.0,1.01,79.99,74.61,2064.5,0.32,3.6,5434324,14.46,39.7,64800.06,11.11,1479506.0,106.42857142857143,101.92857142857143,1.0923753665689149,0.0004927568056660725,1420.5790604024055,278350.5363316578,106.42857142857143,1.1186186186186187,0,0,Low,✅ Stable
Oman,2024-08-04,OMN,Asia,0.0,399449.0,0.0,4628.0,0.01,71.67,66.62,449.44,0.01,1.6,4576300,14.98,30.7,37960.71,11.11,399449.0,0.0,0.0,1.0,0.0,9985.525000011234,87286.4541223259,0.0,0.0,0,2,High,✅ Stable
Pakistan,2024-08-04,PAK,Asia,0.0,1580631.0,0.0,30656.0,0.24,70.21,59.57,124.85,0.02,0.6,235824864,255.57,23.5,5034.71,40.54,1577411.0,0.0,0.0,1.0,0.0,16513.355223886734,6702.562966388481,0.0,0.0,0,0,Low,✅ Stable
Palau,2024-08-04,PLW,Oceania,0.0,6372.0,0.0,10.0,0.35,,,3308.2,0.03,4.8,18084,47.24,,13240.4,,5991.0,0.0,0.0,1.0,0.0,742.7000000000562,352355.67352355673,0.0,0.0,0,0,Low,✅ Stable
Palestine,2024-08-04,PSE,Asia,0.0,703228.0,0.0,5708.0,0.0,38.34,33.85,,0.2,,5250076,778.2,20.4,4449.9,5.56,,0.0,0.0,1.0,0.0,3095.2723270425345,133946.25144474098,0.0,0.0,0,0,Low,✅ Stable
Panama,2024-08-04,PAN,North America,0.0,1044821.0,0.0,8748.0,0.6,80.15,72.0,1493.64,0.18,2.3,4408582,55.13,29.7,22267.04,20.37,1031731.0,0.0,2.5714285714285716,1.0,0.0,20315.26388887561,236997.0661768342,0.0,0.0,0,2,High,✅ Stable
Papua New Guinea,2024-08-04,PNG,Oceania,0.0,46864.0,0.0,670.0,0.55,3.77,3.17,25.04,,,10142625,18.22,22.6,3823.19,5.56,46825.0,0.0,0.0,1.0,0.0,2342.499999999879,4620.500117080144,0.0,0.0,0,0,Low,✅ Stable
Paraguay,2024-08-04,PRY,South America,0.0,735759.0,0.0,19880.0,0.34,58.9,52.31,389.3,0.07,1.3,6780745,17.14,26.5,8827.01,11.11,808401.0,0.0,0.0,1.0,0.0,10299.925999990564,108507.10357047788,0.0,0.0,0,0,Low,✅ Stable
Peru,2024-08-04,PER,South America,0.0,4526977.0,0.0,220975.0,0.64,89.76,84.32,859.28,0.01,1.6,34049588,25.13,29.1,12236.71,11.11,4487553.0,0.0,0.0,1.0,0.0,198054.54374961316,132952.47507840625,0.0,0.0,0,2,High,✅ Stable
Philippines,2024-08-04,PHL,Asia,0.0,4140383.0,0.0,66864.0,0.66,71.55,67.88,250.02,0.01,1.0,115559008,351.87,25.2,7599.19,25.41,4077452.0,0.0,0.0,1.0,0.0,1592.6304562944376,35829.16703473259,0.0,0.0,0,2,High,✅ Stable
Pitcairn,2024-08-04,PCN,Oceania,0.0,4.0,0.0,0.0,,100.0,100.0,,,,47,,,,,,0.0,0.0,1.0,0.0,0.0,85106.3829787234,0.0,0.0,0,0,Low,✅ Stable
Poland,2024-08-04,POL,Europe,2463.0,6670799.0,4.0,120726.0,1.0,57.4,56.83,964.88,0.06,6.62,39857144,124.03,41.8,27216.44,9.26,6444960.0,351.85714285714283,297.2857142857143,1.4496762801648027,0.00036935751287869856,1895.182785221668,167367.71204680396,351.85714285714283,2.674267100977198,0,0,Low,✅ Stable
Portugal,2024-08-04,PRT,Europe,1055.0,5664109.0,50.0,28809.0,0.48,95.62,86.75,4161.81,0.51,3.39,10270857,112.37,46.2,27936.9,11.11,5570473.0,150.71428571428572,177.0,0.7413914265635981,0.00018629523928259673,3757.476587676776,551473.8448797408,150.71428571428572,0.5980725623582767,0,0,Low,✅ Stable
Puerto Rico,2024-08-04,PRI,North America,0.0,1252713.0,0.0,5938.0,,,,927.24,0.24,,3252412,376.23,38.2,35044.67,0.0,,0.0,0.0,1.0,0.0,269.6141491985158,385164.30267752055,0.0,0.0,0,2,High,✅ Stable
Qatar,2024-08-04,QAT,Asia,0.0,514524.0,0.0,690.0,0.74,105.83,105.83,2817.62,,1.2,2695131,227.32,31.9,116935.6,11.11,495090.0,0.0,0.0,1.0,0.0,1915.0808510633499,190908.71649652653,0.0,0.0,0,2,High,✅ Stable
Reunion,2024-08-04,REU,Africa,0.0,494595.0,0.0,921.0,,,,,,,974062,,36.0,,,,0.0,0.0,1.0,0.0,498.8909090909352,507765.419449686,0.0,0.0,0,0,Low,✅ Stable
Romania,2024-08-04,ROU,Europe,4633.0,3541619.0,6.0,68825.0,0.01,41.65,41.28,1099.95,0.06,6.89,19659270,85.13,43.0,23313.2,11.11,3346046.0,661.8571428571429,545.1428571428571,1.5448482827609202,0.0013098723037072713,534.4032376429536,180150.07678311554,661.8571428571429,2.502971366828741,0,2,High,"⚠️ Rising Rt, Accelerating Cases"
Russia,2024-08-04,RUS,Europe,7777.0,24268728.0,10.0,403188.0,0.82,61.56,55.08,2034.73,0.03,8.05,144713312,8.82,39.6,24765.95,11.11,22075858.0,1111.0,994.6428571428571,1.2649642160052048,0.00032055627168126044,2183.703960395549,167702.11160670553,1111.0,1.430121368150055,0,0,Low,✅ Stable
Rwanda,2024-08-04,RWA,Africa,0.0,133264.0,0.0,1468.0,0.09,79.01,75.49,411.16,0.01,,13776702,494.87,20.3,1854.21,25.64,133194.0,0.0,0.0,1.0,0.0,31094.23333343126,9673.142381972115,0.0,0.0,0,2,High,✅ Stable
Saint Barthelemy,2024-08-04,BLM,North America,0.0,5507.0,0.0,5.0,,,,,,,10994,,,,,,0.0,0.0,1.0,0.0,295.83076923077687,500909.58704748045,0.0,0.0,0,0,Low,✅ Stable
Saint Helena,2024-08-04,SHN,Africa,0.0,2166.0,0.0,0.0,,80.74,65.38,,,,5401,,,,,,0.0,0.0,1.0,0.0,378.34999999999155,401036.8450286984,0.0,0.0,0,0,Low,✅ Stable
Saint Kitts and Nevis,2024-08-04,KNA,North America,0.0,6607.0,0.0,46.0,0.02,70.88,56.63,1983.78,0.01,2.3,47681,212.86,,24654.38,,6597.0,0.0,0.0,1.0,0.0,4624.200000000497,138566.7246911768,0.0,0.0,0,0,Low,✅ Stable
Saint Lucia,2024-08-04,LCA,North America,0.0,30282.0,0.0,410.0,0.17,33.43,30.56,1160.91,0.15,1.3,179872,293.19,34.9,12951.84,,30004.0,0.0,0.35714285714285715,1.0,0.0,4238.7799999978515,168353.05105853052,0.0,0.0,0,2,High,✅ Stable
Saint Martin (French part),2024-08-04,MAF,North America,0.0,12324.0,0.0,46.0,,,,,,,31816,590.53,,,,,0.0,0.0,1.0,0.0,410.10000000000366,387352.2755846115,0.0,0.0,0,0,Low,✅ Stable
Saint Pierre and Miquelon,2024-08-04,SPM,North America,0.0,3426.0,0.0,2.0,,,,,,,5885,,,,,,0.0,0.0,1.0,0.0,1198.4000000000426,582158.0288870009,0.0,0.0,0,0,Low,✅ Stable
Saint Vincent and the Grenadines,2024-08-04,VCT,North America,0.0,9674.0,0.0,124.0,0.02,36.1,30.43,1038.88,0.23,2.6,103959,281.79,31.8,10727.15,,9589.0,0.0,0.0,1.0,0.0,6771.100000006465,93055.91627468521,0.0,0.0,0,0,Low,✅ Stable
Samoa,2024-08-04,WSM,Oceania,0.0,17057.0,0.0,31.0,0.04,86.07,80.02,,,,222390,69.41,22.0,6021.56,,16607.0,0.0,0.0,1.0,0.0,2984.2750000007522,76698.59256261523,0.0,0.0,0,0,Low,✅ Stable
San Marino,2024-08-04,SMR,Europe,0.0,25292.0,0.0,126.0,1.06,78.23,70.15,,,3.8,33690,556.67,,56861.47,5.56,23616.0,0.0,0.0,1.0,0.0,110.64842767295637,750727.2187592757,0.0,0.0,0,0,Low,✅ Stable
Sao Tome and Principe,2024-08-04,STP,Africa,0.0,6771.0,0.0,80.0,0.01,61.68,49.25,21.04,0.01,2.9,227393,212.84,18.7,3052.71,,6281.0,0.0,0.0,1.0,0.0,4739.000000001805,29776.64220094726,0.0,0.0,0,0,Low,✅ Stable
Saudi Arabia,2024-08-04,SAU,Asia,0.0,841469.0,0.0,9646.0,0.84,74.27,69.86,1203.08,0.03,2.7,36408824,15.32,31.9,49045.41,11.11,830127.0,0.0,0.0,1.0,0.0,623.2706567797009,23111.677542784684,0.0,0.0,0,2,High,✅ Stable
Scotland,2023-10-02,OWID_SCT,Europe,0.0,0.0,0.0,0.0,,83.23,78.41,,,,5466000,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Senegal,2024-08-04,SEN,Africa,0.0,89485.0,0.0,1971.0,0.08,15.5,8.93,65.3,0.0,,17316452,82.33,18.7,2470.58,13.89,88926.0,0.0,1.9285714285714286,1.0,0.0,2319.281481481142,5167.629027008536,0.0,0.0,0,2,High,✅ Stable
Serbia,2024-08-04,SRB,Europe,0.0,2583470.0,0.0,18057.0,0.88,48.81,47.71,1433.87,0.06,5.61,6871547,80.29,41.2,14048.88,5.56,2500142.0,0.0,0.0,1.0,0.0,503.8839843750296,375966.28532119474,0.0,0.0,0,0,Low,✅ Stable
Seychelles,2024-08-04,SYC,Africa,0.0,51886.0,0.0,172.0,0.13,82.62,78.0,,,3.6,107135,208.35,36.2,26382.29,13.89,50665.0,0.0,0.0,1.0,0.0,566.8031249999965,484304.8490222616,0.0,0.0,0,2,High,✅ Stable
Sierra Leone,2024-08-04,SLE,Africa,0.0,7979.0,0.0,125.0,0.0,65.96,57.66,50.89,0.0,,8605723,104.7,19.1,1390.3,37.96,7760.0,0.0,0.0,1.0,0.0,930.183333333439,927.1736959230503,0.0,0.0,0,0,Low,✅ Stable
Singapore,2024-08-04,SGP,Asia,0.0,3006155.0,0.0,2024.0,0.87,91.55,90.85,,0.16,2.4,5637022,7915.73,42.4,85535.38,17.59,2235294.0,0.0,0.0,1.0,0.0,858.2014285714026,533287.7891908174,0.0,0.0,0,2,High,✅ Stable
Sint Maarten (Dutch part),2024-08-04,SXM,North America,0.0,11051.0,0.0,92.0,,67.41,60.58,,,,44192,1209.09,,36327.23,,,0.0,0.0,1.0,0.0,367.666666666652,250067.8855901521,0.0,0.0,0,0,Low,✅ Stable
Slovakia,2024-08-04,SVK,Europe,61.0,1878002.0,1.0,21227.0,0.93,46.0,45.68,9405.66,0.13,5.82,5643455,113.13,41.2,30155.15,11.11,2667551.0,8.714285714285714,7.642857142857143,1.0,3.248238363195988e-05,21550.14262288498,332775.22368832567,8.714285714285714,1.6944444444444442,0,2,High,✅ Stable
Slovenia,2024-08-04,SVN,Europe,148.0,1356582.0,4.0,10083.0,0.85,59.71,57.66,2517.86,0.13,4.5,2119843,102.62,44.5,31400.84,11.11,1331707.0,21.142857142857142,18.714285714285715,1.2982456140350878,0.0001091096212568754,6415.566216218447,639944.5619321809,21.142857142857142,1.3703703703703702,0,2,High,"⚠️ Rising Rt, High Positivity Rate"
Solomon Islands,2024-08-04,SLB,Oceania,0.0,25954.0,0.0,199.0,-0.0,47.47,35.12,,,1.4,724272,21.84,20.8,2205.92,30.46,24575.0,0.0,0.0,1.0,0.0,3.483237393506792,35834.603574347755,0.0,0.0,0,0,Low,✅ Stable
Somalia,2024-08-04,SOM,Africa,0.0,27334.0,0.0,1361.0,0.02,50.99,43.57,29.37,0.04,0.9,17597508,23.5,16.8,,5.56,27324.0,0.0,0.0,1.0,0.0,1912.680000000097,1553.2881132942232,0.0,0.0,0,0,Low,✅ Stable
South Africa,2024-08-04,ZAF,Africa,0.0,4072765.0,0.0,102595.0,0.9,40.42,35.13,431.67,0.07,2.32,59893884,46.75,27.3,12294.88,11.11,4067067.0,0.0,0.14285714285714285,1.0,0.0,1425467.0500814028,67999.6809023105,0.0,0.0,0,2,High,✅ Stable
South Korea,2024-08-04,KOR,Asia,0.0,34571873.0,0.0,35934.0,0.95,86.43,85.64,1934.58,0.07,12.27,51815808,527.97,43.4,35938.37,11.11,,0.0,0.0,1.0,0.0,178.12311591578896,667207.0615978815,0.0,0.0,0,0,Low,✅ Stable
South Sudan,2024-08-04,SSD,Africa,0.0,18823.0,0.0,147.0,0.05,39.54,39.16,38.17,0.01,,10913172,,19.2,1569.89,10.55,18368.0,0.0,0.0,1.0,0.0,4391.333333332946,1724.7964203258227,0.0,0.0,0,0,Low,✅ Stable
Spain,2024-08-04,ESP,Europe,0.0,13980340.0,0.0,121852.0,1.25,86.95,85.66,1961.85,0.31,2.97,47558632,93.1,45.5,34272.36,5.56,13770429.0,0.0,0.0,1.0,0.0,5547.053968256436,293960.0954039217,0.0,0.0,0,2,High,✅ Stable
Sri Lanka,2024-08-04,LKA,Asia,1.0,672798.0,0.0,16907.0,0.89,78.53,67.57,353.23,0.01,3.6,21832150,341.96,34.1,11669.08,23.15,672039.0,0.14285714285714285,0.07142857142857142,1.0,1.4863324302449854e-06,470957.89996630984,30816.845798512746,0.14285714285714285,0.07692307692307691,0,2,High,✅ Stable
Sudan,2024-08-04,SDN,Africa,0.0,63993.0,0.0,5046.0,0.44,32.44,28.62,12.33,,0.8,46874200,23.26,19.7,4466.51,5.56,63829.0,0.0,0.0,1.0,0.0,630.2169014084839,1365.2072995379121,0.0,0.0,0,0,Low,✅ Stable
Suriname,2024-08-04,SUR,South America,0.0,82501.0,0.0,1406.0,-0.0,43.33,38.49,137.34,0.49,3.1,618046,3.61,29.6,13767.12,21.3,82467.0,0.0,0.0,1.0,0.0,57750.00000039105,133486.82784129336,0.0,0.0,0,0,Low,✅ Stable
Sweden,2024-08-04,SWE,Europe,630.0,2755181.0,28.0,27399.0,1.3,73.71,71.98,1758.61,0.11,2.22,10549349,24.72,41.0,46949.28,11.11,2699339.0,90.0,85.71428571428571,1.1052631578947367,0.00022871241084310157,3060.61222222088,261170.71299849876,90.0,1.5035799522673032,0,2,High,✅ Stable
Switzerland,2024-08-04,CHE,Europe,426.0,4457868.0,0.0,14170.0,0.38,69.75,,2448.14,0.41,4.53,8740471,214.24,43.1,57410.17,5.56,4413911.0,60.857142857142854,68.85714285714286,0.7918215613382898,9.557050882547102e-05,7324.435211267172,510026.06152460206,60.857142857142854,0.7648114901256732,0,0,Low,✅ Stable
Syria,2024-08-04,SYR,Asia,0.0,57423.0,0.0,3163.0,0.02,14.9,10.66,8.25,0.01,1.5,22125242,,21.7,,11.11,57467.0,0.0,0.0,1.0,0.0,4018.9100000002904,2595.3614428262526,0.0,0.0,0,0,Low,✅ Stable
Taiwan,2023-09-24,TWN,Asia,0.0,0.0,0.0,0.0,1.17,91.65,87.02,545.75,0.78,,23893396,,42.2,,17.59,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Tajikistan,2024-08-04,TJK,Asia,0.0,17786.0,0.0,125.0,-0.0,53.54,52.17,,,4.8,9952789,64.28,23.3,2896.91,8.33,17786.0,0.0,0.0,1.0,0.0,957.007692307739,1787.036779338937,0.0,0.0,0,0,Low,✅ Stable
Tanzania,2024-08-04,TZA,Africa,0.0,43230.0,0.0,846.0,0.48,52.57,49.11,7.17,0.02,0.7,65497752,64.7,17.7,2683.3,2.78,42906.0,0.0,0.0,1.0,0.0,7564.550000000759,660.022652380497,0.0,0.0,0,0,Low,✅ Stable
Thailand,2024-08-04,THA,Asia,560.0,4799180.0,1.0,34715.0,1.37,79.51,74.6,345.44,0.31,2.1,71697024,135.13,40.1,16277.67,5.56,4728182.0,80.0,106.28571428571429,0.603448275862069,0.0001167002179793819,5998.274999997627,66936.94845688435,80.0,0.521415270018622,0,0,Low,✅ Stable
Togo,2024-08-04,TGO,Africa,0.0,39530.0,0.0,290.0,0.89,25.49,17.56,86.72,0.02,0.7,8848700,143.37,19.4,1429.81,30.1,39396.0,0.0,0.0,1.0,0.0,27670.300000008658,4467.32288358742,0.0,0.0,0,0,Low,✅ Stable
Tokelau,2024-08-04,TKL,Oceania,0.0,80.0,0.0,0.0,,116.38,116.38,,,,1893,,,,,,0.0,0.0,1.0,0.0,0.7358974358974358,42260.96143687269,0.0,0.0,0,0,Low,✅ Stable
Tonga,2024-08-04,TON,Oceania,0.0,16976.0,0.0,12.0,0.01,81.73,72.39,,,2.6,106867,150.03,22.3,5425.62,16.22,16810.0,0.0,0.0,1.0,0.0,3960.36666666422,158851.65673219983,0.0,0.0,0,0,Low,✅ Stable
Trinidad and Tobago,2024-08-04,TTO,North America,0.0,191496.0,0.0,4390.0,0.5,49.22,46.82,503.65,0.22,3.0,1531043,266.89,36.2,28763.07,11.11,189918.0,0.0,0.0,1.0,0.0,917.4315068494058,125075.52041320852,0.0,0.0,0,0,Low,✅ Stable
Tunisia,2024-08-04,TUN,Africa,0.0,1153361.0,0.0,29423.0,0.91,58.42,51.81,379.01,0.1,2.3,12356116,74.23,32.7,10849.3,31.36,1151126.0,0.0,0.0,1.0,0.0,21245.423684140933,93343.32892310173,0.0,0.0,0,2,High,✅ Stable
Turkey,2024-08-04,TUR,Asia,0.0,17004718.0,0.0,101419.0,-0.01,67.89,62.31,1924.67,0.01,2.81,85341248,104.91,31.6,25129.34,11.11,17042722.0,0.0,0.0,1.0,0.0,11903301.885639792,199255.55810948534,0.0,0.0,0,2,High,✅ Stable
Turkmenistan,2024-08-04,TKM,Asia,0.0,0.0,0.0,0.0,,71.76,71.05,,,7.4,6430777,12.25,26.9,16389.02,22.22,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Turks and Caicos Islands,2024-08-04,TCA,North America,0.0,6805.0,0.0,40.0,,71.76,67.16,,,,45726,37.31,,,,,0.0,0.0,1.0,0.0,1190.1750000000031,148821.2395573634,0.0,0.0,0,0,Low,✅ Stable
Tuvalu,2024-08-04,TUV,Oceania,0.0,2943.0,0.0,1.0,0.02,86.13,83.86,,,,11335,373.07,,3575.1,,2805.0,0.0,0.0,1.0,0.0,1029.3500000000697,259638.28848698724,0.0,0.0,0,0,Low,✅ Stable
Uganda,2024-08-04,UGA,Africa,0.0,172154.0,0.0,3632.0,0.04,42.4,27.64,59.96,0.06,0.5,47249588,213.76,16.4,1697.71,38.44,170544.0,0.0,0.0,1.0,0.0,60253.19999984223,3643.5026692719525,0.0,0.0,0,0,Low,✅ Stable
Ukraine,2024-08-04,UKR,Europe,171.0,5532777.0,0.0,109920.0,0.51,40.97,39.65,443.1,0.6,8.8,39701744,77.39,41.4,7894.39,8.33,5711929.0,24.428571428571427,18.5,1.9431818181818181,3.0907677141644996e-05,22648.094736851646,139358.53800276382,24.428571428571427,2.192307692307692,0,0,Low,"⚠️ Rising Rt, High Positivity Rate, Accelerating Cases"
United Arab Emirates,2024-08-04,ARE,Asia,0.0,1067030.0,0.0,2349.0,0.97,105.83,103.72,17994.67,0.0,1.2,9441138,112.44,34.0,67293.48,13.89,1053213.0,0.0,0.0,1.0,0.0,1919.4053984573552,113019.2144209734,0.0,0.0,0,2,High,✅ Stable
United Kingdom,2024-08-04,GBR,Europe,3400.0,24974629.0,0.0,232112.0,0.3,79.71,75.19,7480.12,0.03,2.54,67508936,272.9,40.8,39753.24,5.56,24658705.0,485.7142857142857,537.9285714285714,0.823045267489712,0.00013615669457034407,5141.135382354274,369945.52839641855,485.7142857142857,0.6739345887016849,0,0,Low,✅ Stable
United States,2024-08-04,USA,North America,0.0,103436829.0,619.0,1193165.0,0.88,81.39,69.47,2708.53,0.14,2.77,338289856,35.61,38.3,54225.45,28.71,,0.0,0.0,1.0,0.0,775.6862352562375,305763.9097519968,0.0,0.0,0,2,High,✅ Stable
United States Virgin Islands,2024-08-04,VIR,North America,0.0,25389.0,0.0,132.0,,,,1149.74,0.19,,99479,306.48,42.2,,0.0,,0.0,0.0,1.0,0.0,276.9921875000009,255219.69460891242,0.0,0.0,0,0,Low,✅ Stable
Uruguay,2024-08-04,URY,South America,15.0,1041346.0,0.0,7682.0,1.1,87.95,84.82,1776.52,0.08,2.8,3422796,19.75,35.6,20551.41,13.89,1034303.0,2.142857142857143,1.9285714285714286,1.0,1.4404641751841751e-05,48595.446666384414,304238.40626201505,2.142857142857143,0.7894736842105262,0,2,High,✅ Stable
Uzbekistan,2024-08-04,UZB,Asia,0.0,175081.0,0.0,1016.0,0.12,63.81,53.29,,,4.0,34627648,76.13,28.2,6253.1,5.56,251247.0,0.0,0.0,1.0,0.0,1475.8867469882744,5056.104301395232,0.0,0.0,0,0,Low,✅ Stable
Vanuatu,2024-08-04,VUT,Oceania,0.0,12019.0,0.0,14.0,0.02,54.06,49.66,37.57,0.01,,326744,22.66,23.1,2921.91,11.11,12014.0,0.0,0.0,1.0,0.0,2803.733333334386,36784.149058590214,0.0,0.0,0,2,High,✅ Stable
Vatican,2024-08-04,VAT,Europe,0.0,26.0,0.0,0.0,,,,,,,808,,,,,,0.0,0.0,1.0,0.0,0.6000000000000001,32178.21782178218,0.0,0.0,0,0,Low,✅ Stable
Venezuela,2024-08-04,VEN,South America,0.0,552695.0,0.0,5856.0,1.05,78.29,52.88,,,0.8,28301700,36.25,29.0,16745.02,13.89,552162.0,0.0,0.0,1.0,0.0,3306.022222223066,19528.68555599134,0.0,0.0,0,0,Low,✅ Stable
Vietnam,2024-08-04,VNM,Asia,0.0,11624000.0,0.0,43206.0,0.63,92.17,87.55,880.54,0.95,2.6,98186856,308.13,32.6,6171.88,23.15,11526994.0,0.0,0.0,1.0,0.0,625906.9923283792,118386.51804881093,0.0,0.0,0,2,High,✅ Stable
Wales,2023-07-12,OWID_WLS,Europe,0.0,0.0,0.0,0.0,,81.77,78.14,,,,3170000,,,,,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,0,Low,✅ Stable
Wallis and Futuna,2024-08-04,WLF,Oceania,0.0,3760.0,0.0,9.0,,61.66,58.67,,,,11596,,,,,,0.0,0.0,1.0,0.0,11.83333333333335,324249.74129010004,0.0,0.0,0,0,Low,✅ Stable
Western Sahara,2022-04-20,ESH,Africa,0.0,0.0,0.0,0.0,,,,6.97,,,576005,,28.4,,,,0.0,0.0,1.0,0.0,,0.0,,,0,0,Low,✅ Stable
Yemen,2024-08-04,YEM,Asia,0.0,11945.0,0.0,2159.0,0.0,3.12,2.4,10.22,0.0,0.7,33696612,53.51,20.3,1479.15,5.56,11945.0,0.0,0.0,1.0,0.0,1392.8833333331356,354.48667658339065,0.0,0.0,0,0,Low,✅ Stable
Zambia,2024-08-04,ZMB,Africa,18.0,349842.0,0.0,4077.0,1.34,58.51,46.03,180.46,0.06,2.0,20017670,23.0,17.7,3689.25,13.89,343135.0,2.5714285714285716,5.214285714285714,1.0,5.145444566401203e-05,13604.266666691348,17476.659371445327,2.5714285714285716,0.6666666666666667,0,2,High,✅ Stable
Zimbabwe,2024-08-04,ZWE,Africa,0.0,266386.0,0.0,5740.0,0.03,39.45,29.11,148.8,0.04,1.7,16320539,42.73,19.6,1899.78,53.7,264276.0,0.0,0.0,1.0,0.0,186469.50000112667,16322.132498197518,0.0,0.0,0,0,Low,✅ Stable
