location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
French Polynesia,2024-08-04,PYF,Oceania,47.0,79387.0,0.0,650.0,,62.33,60.99,,,,306292,77.32,32.7,,,,6.714285714285714,3.357142857142857,1.0,0.0005923871943533943,1181.6595744681279,259187.3114544291,6.714285714285714,3.357142857142857,0,0,Low,✅ Stable
Gabon,2024-08-04,GAB,Africa,0.0,49051.0,0.0,307.0,0.08,13.03,10.78,683.37,0.04,6.3,2388997,7.86,23.1,16562.41,11.11,48981.0,0.0,0.0,1.0,0.0,17167.149999971964,20532.047549662053,0.0,0.0,0,0,Low,✅ Stable
Gambia,2024-08-04,GMB,Africa,0.0,12627.0,0.0,372.0,0.01,24.92,19.93,58.97,0.01,1.1,2705995,207.57,17.5,1561.77,11.11,12598.0,0.0,0.0,1.0,0.0,8838.199999998635,4666.305739663229,0.0,0.0,0,0,Low,✅ Stable
Georgia,2024-08-04,GEO,Asia,0.0,1863615.0,0.0,17150.0,0.31,44.19,34.08,3632.94,0.07,2.6,3744385,65.03,38.7,9745.08,5.56,1827537.0,0.0,0.0,1.0,0.0,11245.252586196104,497709.2366303145,0.0,0.0,0,2,High,✅ Stable
Germany,2024-08-04,DEU,Europe,0.0,38437756.0,0.0,174979.0,1.18,77.82,76.24,1574.02,0.42,8.0,83369840,237.02,46.6,45229.24,11.11,38249060.0,0.0,0.0,1.0,0.0,24481.947133792655,461051.0947364179,0.0,0.0,0,2,High,✅ Stable
Ghana,2024-08-04,GHA,Africa,0.0,172062.0,0.0,1462.0,0.3,41.42,32.2,75.08,0.26,0.9,33475870,126.72,21.1,4227.63,33.38,171229.0,0.0,0.07142857142857142,1.0,0.0,120442.69999829713,5139.881353344962,0.0,0.0,0,0,Low,✅ Stable
Gibraltar,2024-08-04,GIB,Europe,0.0,20550.0,0.0,113.0,,129.07,126.89,16322.86,0.09,,32677,3457.1,,,,,0.0,0.0,1.0,0.0,162.76590909090996,628882.700370291,0.0,0.0,0,2,High,✅ Stable
Greece,2024-08-04,GRC,Europe,5818.0,5673681.0,40.0,39258.0,0.29,76.44,73.64,8088.12,0.08,4.21,10384972,83.48,45.3,24574.38,11.11,5548487.0,831.1428571428571,852.0,0.9522094926350245,0.0010264891723741343,681.9360776899304,546335.7050938606,831.1428571428571,1.0708632431437513,0,0,Low,✅ Stable
Greenland,2024-08-04,GRL,North America,0.0,11971.0,0.0,21.0,,72.98,68.17,,,,56494,0.14,,,11.11,,0.0,0.0,1.0,0.0,238.72000000000267,211898.60870180905,0.0,0.0,0,2,High,✅ Stable
Grenada,2024-08-04,GRD,North America,0.0,19693.0,0.0,238.0,0.04,35.26,31.11,1357.8,0.12,3.7,125459,317.13,29.4,13593.88,,19680.0,0.0,0.0,1.0,0.0,1377.8099999999988,156967.61491802102,0.0,0.0,0,0,Low,✅ Stable
Guadeloupe,2024-08-04,GLP,North America,0.0,203235.0,0.0,1021.0,,,,,,,395762,,43.4,,,,0.0,0.0,1.0,0.0,355.85263157894616,513528.3326847954,0.0,0.0,0,0,Low,✅ Stable
Guam,2024-08-04,GUM,Oceania,0.0,52287.0,0.0,419.0,,,,1897.08,0.1,,171783,304.13,31.4,,0.0,,0.0,0.0,1.0,0.0,914.3225000001132,304378.19807547895,0.0,0.0,0,0,Low,✅ Stable
Guatemala,2024-08-04,GTM,North America,1.0,1250371.0,0.0,20203.0,0.92,50.07,39.94,231.01,0.19,0.6,17843914,157.83,22.9,7423.81,36.57,1238247.0,0.14285714285714285,0.14285714285714285,1.0,7.997632700540436e-07,875259.0000197156,70072.68696766863,0.14285714285714285,0.11111111111111112,0,2,High,✅ Stable
Guernsey,2024-08-04,GGY,Europe,0.0,35326.0,0.0,67.0,,85.62,83.23,,,,63329,,,,,,0.0,0.0,1.0,0.0,271.0384615384625,557817.1138025234,0.0,0.0,0,0,Low,✅ Stable
Guinea,2024-08-04,GIN,Africa,0.0,38572.0,0.0,468.0,0.06,62.89,42.24,52.35,0.0,0.3,13859349,51.76,19.0,1998.93,25.45,38267.0,0.0,0.0,1.0,0.0,6749.399999995555,2783.10330449143,0.0,0.0,0,0,Low,✅ Stable
Guinea-Bissau,2024-08-04,GNB,Africa,0.0,9614.0,0.0,177.0,-0.0,35.48,26.01,69.37,0.02,,2105580,66.19,19.4,1548.68,,8960.0,0.0,0.0,1.0,0.0,24.7916666666666,4565.962822595199,0.0,0.0,0,0,Low,✅ Stable
Guyana,2024-08-04,GUY,South America,4.0,74443.0,0.0,1302.0,1.05,61.24,47.23,550.23,0.34,1.6,808727,3.95,26.3,7435.05,18.52,73075.0,0.5714285714285714,1.5,1.0,5.373527317664717e-05,13026.825000011599,92049.60388363441,0.5714285714285714,0.12903225806451613,0,2,High,✅ Stable
Haiti,2024-08-04,HTI,North America,0.0,34456.0,0.0,860.0,0.08,4.5,3.16,18.05,0.04,0.7,11585003,398.45,24.3,1653.17,31.48,34202.0,0.0,0.0,1.0,0.0,3014.1999999998566,2974.189993735867,0.0,0.0,0,0,Low,✅ Stable
Honduras,2024-08-04,HND,North America,1.0,472896.0,0.0,11114.0,0.54,63.23,56.11,,,0.7,10432858,82.8,24.9,4541.8,23.15,472250.0,0.14285714285714285,0.35714285714285715,1.0,2.1146343267552936e-06,331026.50001623866,45327.56029076596,0.14285714285714285,0.09090909090909091,0,2,High,✅ Stable
Hong Kong,2024-08-10,HKG,Asia,0.0,0.0,0.0,0.0,,92.41,90.85,6594.99,0.0,,7488863,7039.71,44.8,56054.92,11.11,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0,2,High,✅ Stable
Hungary,2024-08-04,HUN,Europe,143.0,2230800.0,0.0,49053.0,0.93,64.42,62.28,1127.08,0.22,7.02,9967304,108.04,43.4,26777.56,11.11,2196804.0,20.428571428571427,14.928571428571429,2.1666666666666665,6.410667350476018e-05,10919.299999991767,223811.7749794729,20.428571428571427,2.8599999999999994,0,2,High,"⚠️ Rising Rt, High Positivity Rate, Accelerating Cases"
Iceland,2024-08-04,ISL,Europe,27.0,210374.0,0.0,186.0,0.02,83.07,77.82,3709.57,,2.91,372903,3.4,37.3,46482.96,5.56,209137.0,3.857142857142857,4.214285714285714,1.0,0.00012835933005939104,5453.4407407401895,564152.0717183825,3.857142857142857,0.41538461538461535,0,2,High,✅ Stable
India,2024-08-12,IND,Asia,0.0,0.0,0.0,0.0,1.04,72.5,67.18,609.94,0.03,0.53,1417173120,450.42,28.2,6426.67,28.7,44690738.0,0.0,22.357142857142858,1.0,0.0,-0.7,0.0,0.0,0.0,0,2,High,✅ Stable
Indonesia,2024-08-04,IDN,Asia,46.0,6829399.0,0.0,162059.0,0.55,74.2,63.51,217.36,0.08,1.04,275501344,145.72,29.3,11188.74,14.93,6738225.0,6.571428571428571,3.2857142857142856,1.0,6.73563073982919e-06,103924.93695664668,24788.986147377924,6.571428571428571,0.8363636363636364,0,2,High,✅ Stable
Iran,2024-08-04,IRN,Asia,0.0,7627863.0,0.0,146837.0,1.28,73.63,66.16,594.48,0.01,1.5,88550568,49.83,32.4,19082.62,53.94,7572311.0,0.0,0.0,1.0,0.0,15082.644915257111,86141.32209744833,0.0,0.0,0,2,High,✅ Stable
Iraq,2024-08-04,IRQ,Asia,0.0,2465545.0,0.0,25375.0,0.11,25.47,17.85,436.51,0.01,1.4,44496124,88.12,20.0,15663.99,16.67,2465545.0,0.0,0.0,1.0,0.0,10033.494767441127,55410.33192014657,0.0,0.0,0,0,Low,✅ Stable
Ireland,2024-08-04,IRL,Europe,761.0,1745088.0,9.0,9744.0,0.27,81.87,80.94,2476.14,0.32,2.96,5023108,69.87,38.7,67335.29,5.56,1704502.0,108.71428571428571,119.07142857142857,0.8399558498896248,0.0004362714101198151,1604.5057818658254,347412.0006975761,108.71428571428571,0.7694641051567239,0,1,Medium,✅ Stable
Isle of Man,2024-08-04,IMN,Europe,0.0,38008.0,0.0,116.0,,82.29,79.38,,,,84534,147.87,,,,,0.0,0.0,1.0,0.0,123.62523364485817,449617.90522156766,0.0,0.0,0,0,Low,✅ Stable
Israel,2024-08-04,ISR,Asia,0.0,4841558.0,0.0,12707.0,0.9,71.15,65.19,5573.14,0.33,2.99,9449000,402.61,30.6,33132.32,14.81,4803824.0,0.0,0.0,1.0,0.0,18827.581111145744,512388.400888983,0.0,0.0,0,2,High,✅ Stable
Italy,2024-08-07,ITA,Europe,0.0,0.0,0.0,0.0,1.31,86.28,81.21,3796.0,0.21,3.18,59037472,205.86,47.9,35220.08,21.99,25603510.0,907.1428571428571,1573.2142857142858,0.405103668261563,0.0,-0.7,0.0,907.1428571428571,0.551023950017355,0,0,Low,✅ Stable
